lane	timestamp	cmd	outcome	elapsed_s
ffi-axiom-extern	2026-05-04T16:57:05-04:00	selfhost	OK	-
ffi-axiom-extern	2026-05-04T16:57:05-04:00	selfhost-llvm	OK	-
ffi-axiom-extern	2026-05-04T17:01:06-04:00	tier0	OK	-
ffi-axiom-extern	2026-05-04T17:09:23-04:00	tier1	OK	478
ffi-axiom-extern	2026-05-04T17:11:02-04:00	test-ffi-extern-c-asan	OK	-
ffi-axiom-extern	2026-05-04T17:11:02-04:00	tier1-asan	FAIL_PRE_EXISTING_signal_trap	-
issue-118-perceus-reuse-in-place	2026-05-03T20:07:48-04:00	tier0_runtime_only	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T20:35:35-04:00	tier0_cons_recognizer	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T20:43:36-04:00	selfhost+selfhost-llvm_cons	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T20:49:57-04:00	test-perceus-issue118	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T20:49:57-04:00	test-perceus-issue118-asan	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T21:00:07-04:00	tier1	OK	-
issue-118-perceus-reuse-in-place	2026-05-03T21:01:13-04:00	tier1-asan	OK	-
issue-182-result-option-api	2026-05-03T19:50:20-04:00	tier0	OK	35
issue-182-result-option-api	2026-05-03T19:55:02-04:00	tier1	OK	276
issue-182-result-option-api	2026-05-03T19:55:26-04:00	selfhost	OK	19
issue-182-result-option-api	2026-05-03T19:56:06-04:00	selfhost-llvm	OK	27
issue-201-flat-map-pipe	2026-05-03T20:12:55-04:00	tier0	OK	41
issue-201-flat-map-pipe	2026-05-03T20:14:49-04:00	tier1	FAIL	106
issue-201-flat-map-pipe	2026-05-03T20:25:06-04:00	tier1	OK	240
issue-201-flat-map-pipe	2026-05-03T20:26:00-04:00	tier1-asan	OK	47
issue-201-flat-map-pipe	2026-05-03T20:26:42-04:00	selfhost-llvm	OK	27
issue-203-phase1-list	2026-05-03T22:32:15-04:00	tier0	OK	29
issue-203-phase1-list	2026-05-03T22:36:48-04:00	tier0	OK	35
issue-203-phase1-list	2026-05-03T22:40:53-04:00	tier1	OK	239
issue-203-phase1-list	2026-05-03T22:54:07-04:00	tier1	OK	262
issue-203-phase1-list	2026-05-03T22:54:33-04:00	selfhost	OK	18
issue-203-phase1-list	2026-05-03T22:55:30-04:00	tier1-asan	OK	50
issue-203-phase2-string	2026-05-04T00:06:49-04:00	tier0-baseline	OK	34
issue-203-phase2-string	2026-05-04T00:08:53-04:00	tier0-postmig	OK	34
issue-203-phase2-string	2026-05-04T00:11:36-04:00	tier1	FAIL	133
issue-203-phase2-string	2026-05-04T00:14:07-04:00	tier0-revert	OK	35
issue-203-phase2-string	2026-05-04T00:18:36-04:00	tier1	OK	264
issue-203-phase2-string	2026-05-04T00:19:31-04:00	tier1-asan	OK	49
issue-203-phase2-string	2026-05-04T00:19:56-04:00	selfhost	OK	19
issue-203-phase3-option	2026-05-04T00:38:58-04:00	tier0-baseline	OK	39
issue-203-phase3-option	2026-05-04T00:41:56-04:00	tier0-postmig	FAIL	20
issue-203-phase3-option	2026-05-04T00:44:15-04:00	tier0-postmig2	OK	34
issue-203-phase3-option	2026-05-04T00:48:47-04:00	tier1	OK	266
issue-203-phase3-option	2026-05-04T00:49:46-04:00	tier1-asan	OK	50
issue-203-phase3-option	2026-05-04T00:50:10-04:00	selfhost	OK	19
issue-203-phase3-option	2026-05-04T00:50:29-04:00	selfhost-llvm	N/A-no-target	-
issue-203-phase4-result	2026-05-04T01:14:33-04:00	tier0-baseline	OK	39
